date,assets_proxy_usd
2023-09-25 00:00:00,408403322.0
2023-09-26 00:00:00,400571934.0
2023-09-27 00:00:00,361563494.0
2023-09-28 00:00:00,360082478.0
2023-09-29 00:00:00,370850847.0
2023-09-30 00:00:00,420722966.0
2023-10-01 00:00:00,423378834.0
2023-10-02 00:00:00,453530236.0
2023-10-03 00:00:00,431549227.0
2023-10-04 00:00:00,442044249.0
2023-10-05 00:00:00,456978063.0
2023-10-06 00:00:00,446675235.0
2023-10-07 00:00:00,447861331.0
2023-10-08 00:00:00,445420145.0
2023-10-09 00:00:00,447062623.0
2023-10-10 00:00:00,442808948.0
2023-10-11 00:00:00,437972391.0
2023-10-12 00:00:00,455382816.0
2023-10-13 00:00:00,454115972.0
2023-10-14 00:00:00,466466967.0
2023-10-15 00:00:00,469817108.0
2023-10-16 00:00:00,470085708.0
2023-10-17 00:00:00,479113974.0
2023-10-18 00:00:00,475316850.0
2023-10-19 00:00:00,482041026.0
2023-10-20 00:00:00,504523479.0
2023-10-21 00:00:00,514967319.0
2023-10-22 00:00:00,536638533.0
2023-10-23 00:00:00,541464179.0
2023-10-24 00:00:00,575214833.0
2023-10-25 00:00:00,553806345.0
2023-10-26 00:00:00,554353174.0
2023-10-27 00:00:00,582711116.0
2023-10-28 00:00:00,576150383.0
2023-10-29 00:00:00,566727072.0
2023-10-30 00:00:00,575683277.0
2023-10-31 00:00:00,577849925.0
2023-11-01 00:00:00,585004839.0
2023-11-02 00:00:00,707614855.0
2023-11-03 00:00:00,726786822.0
2023-11-04 00:00:00,745095525.0
2023-11-05 00:00:00,774587054.0
2023-11-06 00:00:00,784265632.0
2023-11-07 00:00:00,804591748.0
2023-11-08 00:00:00,807162432.0
2023-11-09 00:00:00,810692902.0
2023-11-10 00:00:00,899617472.0
2023-11-11 00:00:00,893233564.0
2023-11-12 00:00:00,897126163.0
2023-11-13 00:00:00,866223577.0
2023-11-14 00:00:00,938081718.0
2023-11-15 00:00:00,910422268.0
2023-11-16 00:00:00,966106786.0
2023-11-17 00:00:00,879302269.0
2023-11-18 00:00:00,863870653.0
2023-11-19 00:00:00,876308335.0
2023-11-20 00:00:00,896302574.0
2023-11-21 00:00:00,917421166.0
2023-11-22 00:00:00,893147549.0
2023-11-23 00:00:00,935646632.0
2023-11-24 00:00:00,943696135.0
2023-11-25 00:00:00,967844219.0
2023-11-26 00:00:00,986750705.0
2023-11-27 00:00:00,973554915.0
2023-11-28 00:00:00,958737986.0
2023-11-29 00:00:00,977185237.0
2023-11-30 00:00:00,1007805383.0
2023-12-01 00:00:00,1039491346.0
2023-12-02 00:00:00,1120152086.0
2023-12-03 00:00:00,1182244461.0
2023-12-04 00:00:00,1214207419.0
2023-12-05 00:00:00,1254676546.0
2023-12-06 00:00:00,1292820541.0
2023-12-07 00:00:00,1261148664.0
2023-12-08 00:00:00,1338137504.0
2023-12-09 00:00:00,1376530058.0
2023-12-10 00:00:00,1406281715.0
2023-12-11 00:00:00,1432450798.0
2023-12-12 00:00:00,1369190867.0
2023-12-13 00:00:00,1346823630.0
2023-12-14 00:00:00,1391300243.0
2023-12-15 00:00:00,1432718589.0
2023-12-16 00:00:00,1384454372.0
2023-12-17 00:00:00,1407779217.0
2023-12-18 00:00:00,1399505615.0
2023-12-19 00:00:00,1413475596.0
2023-12-20 00:00:00,1398093279.0
2023-12-21 00:00:00,1398206414.0
2023-12-22 00:00:00,1431951614.0
2023-12-23 00:00:00,1491760573.0
2023-12-24 00:00:00,1503420659.0
2023-12-25 00:00:00,1479919025.0
2023-12-26 00:00:00,1486080747.0
2023-12-27 00:00:00,1468972017.0
2023-12-28 00:00:00,1585484671.0
2023-12-29 00:00:00,1592892535.0
2023-12-30 00:00:00,1579471993.0
2023-12-31 00:00:00,1644448939.0
2024-01-01 00:00:00,1642166515.0
2024-01-02 00:00:00,1692709888.0
2024-01-03 00:00:00,1723686020.0
2024-01-04 00:00:00,1633930548.0
2024-01-05 00:00:00,1706621982.0
2024-01-06 00:00:00,1698250561.0
2024-01-07 00:00:00,1673446407.0
2024-01-08 00:00:00,1641297046.0
2024-01-09 00:00:00,1722009978.0
2024-01-10 00:00:00,1711442297.0
2024-01-11 00:00:00,1904153553.0
2024-01-12 00:00:00,1985880931.0
2024-01-13 00:00:00,1855462132.0
2024-01-14 00:00:00,1903700458.0
2024-01-15 00:00:00,1846354081.0
2024-01-16 00:00:00,1877750722.0
